1,The process of visiting each element in a data structure is called __________.,traversal,1
2,"In a linked list, the last node points to __________.",null,1
3,A __________ is a data structure that follows the Last-In-First-Out (LIFO) principle.,stack,1
4,The time complexity of searching in a balanced binary search tree is __________.,O(log n),1
5,A __________ is a data structure that follows the First-In-First-Out (FIFO) principle.,queue,1
6,The worst-case time complexity of Quick Sort is __________.,O(n^2),1
7,"In a binary tree, the number of children a node can have is at most __________.",two,1
8,The height of a tree is defined as the number of edges on the __________ path from the root to a leaf.,longest,1
9,"In a max heap, the __________ element is always at the root.",maximum,1
10,A __________ is a collection of nodes where each node has at most two children.,binary tree,1
11,The __________ sort algorithm has an average time complexity of O(n log n).,Merge,1
12,The depth of a node in a tree is the number of __________ from the root to the node.,edges,1
13,"In a graph, a cycle is a path that starts and ends at the __________ vertex.",same,1
14,The __________ algorithm is used to find the shortest path in a weighted graph.,Dijkstra's,1
15,"In a hash table, a __________ function is used to compute an index into an array of buckets.",hash,1
16,A __________ is a linear data structure where elements can be inserted or deleted at both ends.,deque,1
17,The __________ of a binary tree is the longest path from the root to a leaf node.,height,1
18,__________ search is an algorithm used to find a target value within a sorted array.,Binary,1
19,A __________ is a non-linear data structure consisting of nodes and edges.,graph,1
20,"The __________ traversal of a binary tree visits nodes in the order: root, left, right.",preorder,1
21,A __________ search tree is a binary tree where each node has a value greater than all nodes in its left subtree and less than all nodes in its right subtree.,binary search,1
22,The __________ of a graph is the number of edges divided by the number of vertices.,density,1
23,"In the context of graphs, a __________ is a sequence of vertices where each adjacent pair is connected by an edge.",path,1
24,The __________ algorithm is used to traverse or search tree or graph data structures in a breadthward motion.,breadth-first search,1
25,A __________ list is a collection of nodes where each node contains a data element and a reference (link) to the next node in the sequence.,linked,1
26,The __________ sort algorithm builds the final sorted array one item at a time.,insertion,1
27,"A __________ is an ordered collection of elements of the same type, typically indexed by integers.",array,1
28,"In a directed graph, an edge has a direction, going from one vertex () to another destination.",source,1
29,__________ is a recursive algorithm used to solve the problem of arranging objects in a linear sequence.,Backtracking,1
30,A __________ is a set of nodes connected by edges where there are no cycles.,tree,1
31,__________ search is an algorithm that finds the position of a target value within an array.,Linear,1
32,A __________ is a tree where each node has at most two children.,binary,1
